Destination,Country,State/Region,Popular Attractions,Best Season to Visit,Average Budget (INR),Suggested Duration (Days),Travel Type,Nearest Airport/Railway,Ideal For,Remarks
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,45418,5,Urban,Dubai Intl Airport,Family,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,29144,4,Heritage,Jaipur Airport,Family,Great for photography
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,19938,2,Beach,Ngurah Rai Airport,Couple,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,89484,9,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,18757,10,Beach,Dabolim Airport,Friends,Perfect weekend getaway
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,13913,5,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,61598,10,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,44854,8,Heritage,Jaipur Airport,Family,Adventure-packed trip
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,68436,2,Urban,JFK Airport,Friends,Relaxing experience
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,30596,9,Heritage,Charles de Gaulle Airport,Couple,Perfect weekend getaway
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,50092,6,Urban,Dubai Intl Airport,Family,Ideal for honeymoon
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,10296,9,Spiritual,Dehradun Airport,Solo,Budget-friendly option
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,22065,9,Heritage,Charles de Gaulle Airport,Couple,Cultural hotspot
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,92004,7,Heritage,Charles de Gaulle Airport,Couple,Relaxing experience
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,73410,7,Urban,JFK Airport,Friends,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,98471,5,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,35099,6,Nature,Bagdogra Airport,Family,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,15042,5,Urban,JFK Airport,Friends,Perfect weekend getaway
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,24023,8,Adventure,Leh Airport,Couple,Adventure-packed trip
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,24649,6,Urban,JFK Airport,Friends,Relaxing experience
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,48344,4,Spiritual,Dehradun Airport,Solo,Cultural hotspot
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,99461,5,Urban,JFK Airport,Friends,Ideal for honeymoon
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,57543,9,Beach,Dabolim Airport,Friends,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,19119,5,Nature,Bagdogra Airport,Family,Budget-friendly option
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,27332,7,Urban,Haneda Airport,Solo,Adventure-packed trip
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,10988,10,Adventure,Leh Airport,Couple,Perfect weekend getaway
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,18863,9,Urban,Haneda Airport,Solo,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,48869,10,Adventure,Leh Airport,Couple,Ideal for honeymoon
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,54252,9,Heritage,Jaipur Airport,Family,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,65302,8,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,59744,7,Heritage,Jaipur Airport,Family,Perfect weekend getaway
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,93191,2,Heritage,Charles de Gaulle Airport,Couple,Cultural hotspot
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,11578,10,Urban,Haneda Airport,Solo,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,86957,3,Urban,Dubai Intl Airport,Family,Ideal for honeymoon
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,50960,8,Urban,JFK Airport,Friends,Great for photography
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,34986,3,Urban,JFK Airport,Friends,Great for photography
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,42971,10,Nature,Bagdogra Airport,Family,Ideal for honeymoon
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,21122,5,Heritage,Jaipur Airport,Family,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,33714,10,Heritage,Charles de Gaulle Airport,Couple,Adventure-packed trip
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,92785,3,Adventure,Leh Airport,Couple,Great for photography
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,74851,10,Beach,Ngurah Rai Airport,Couple,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,12625,7,Heritage,Charles de Gaulle Airport,Couple,Adventure-packed trip
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,21540,7,Urban,JFK Airport,Friends,Cultural hotspot
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,71423,4,Nature,Bagdogra Airport,Family,Adventure-packed trip
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,86167,10,Nature,Bagdogra Airport,Family,Great for photography
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,95943,8,Urban,JFK Airport,Friends,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,90847,3,Adventure,Leh Airport,Couple,Great for photography
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,74360,8,Nature,Bagdogra Airport,Family,Perfect weekend getaway
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,97489,3,Spiritual,Dehradun Airport,Solo,Great for photography
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,27852,9,Heritage,Jaipur Airport,Family,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,89294,7,Beach,Dabolim Airport,Friends,Adventure-packed trip
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,64765,6,Beach,Dabolim Airport,Friends,Perfect weekend getaway
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,97845,10,Spiritual,Dehradun Airport,Solo,Budget-friendly option
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,53739,2,Spiritual,Dehradun Airport,Solo,Budget-friendly option
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,25200,9,Heritage,Charles de Gaulle Airport,Couple,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,92034,8,Heritage,Jaipur Airport,Family,Adventure-packed trip
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,54014,2,Beach,Ngurah Rai Airport,Couple,Ideal for honeymoon
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,20881,7,Urban,JFK Airport,Friends,Perfect weekend getaway
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,38155,5,Urban,Dubai Intl Airport,Family,Perfect weekend getaway
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,88941,7,Heritage,Jaipur Airport,Family,Great for photography
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,64486,7,Urban,JFK Airport,Friends,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,59133,3,Heritage,Jaipur Airport,Family,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,98880,8,Beach,Dabolim Airport,Friends,Adventure-packed trip
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,21353,2,Beach,Dabolim Airport,Friends,Relaxing experience
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,8395,2,Spiritual,Dehradun Airport,Solo,Cultural hotspot
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,14559,2,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,90574,8,Heritage,Jaipur Airport,Family,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,59633,2,Adventure,Leh Airport,Couple,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,91836,4,Adventure,Leh Airport,Couple,Perfect weekend getaway
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,57824,10,Adventure,Leh Airport,Couple,Budget-friendly option
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,79493,9,Nature,Bagdogra Airport,Family,Cultural hotspot
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,69083,5,Urban,Haneda Airport,Solo,Adventure-packed trip
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,57846,2,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,50097,3,Beach,Dabolim Airport,Friends,Cultural hotspot
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,96543,2,Spiritual,Dehradun Airport,Solo,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,75166,9,Adventure,Leh Airport,Couple,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,78692,6,Urban,Dubai Intl Airport,Family,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,66611,7,Heritage,Jaipur Airport,Family,Adventure-packed trip
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,33939,3,Nature,Bagdogra Airport,Family,Relaxing experience
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,25164,10,Adventure,Leh Airport,Couple,Ideal for honeymoon
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,72892,10,Adventure,Leh Airport,Couple,Perfect weekend getaway
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,44632,5,Urban,JFK Airport,Friends,Perfect weekend getaway
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,49409,3,Spiritual,Dehradun Airport,Solo,Perfect weekend getaway
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,36787,2,Heritage,Jaipur Airport,Family,Ideal for honeymoon
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,27419,5,Nature,Bagdogra Airport,Family,Adventure-packed trip
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,26370,2,Adventure,Leh Airport,Couple,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,59269,10,Beach,Dabolim Airport,Friends,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,40163,7,Adventure,Leh Airport,Couple,Great for photography
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,43132,3,Nature,Bagdogra Airport,Family,Budget-friendly option
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,88312,2,Urban,Dubai Intl Airport,Family,Ideal for honeymoon
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,18396,3,Heritage,Jaipur Airport,Family,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,13152,3,Heritage,Jaipur Airport,Family,Great for photography
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,38992,5,Nature,Bagdogra Airport,Family,Great for photography
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,73582,9,Beach,Dabolim Airport,Friends,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,71977,2,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,69357,8,Beach,Dabolim Airport,Friends,Relaxing experience
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,51981,10,Urban,JFK Airport,Friends,Great for photography
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,63449,7,Heritage,Charles de Gaulle Airport,Couple,Perfect weekend getaway
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,60256,2,Urban,Dubai Intl Airport,Family,Great for photography
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,54256,2,Urban,Haneda Airport,Solo,Cultural hotspot
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,17392,4,Nature,Bagdogra Airport,Family,Ideal for honeymoon
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,41782,7,Beach,Dabolim Airport,Friends,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,96185,10,Urban,Dubai Intl Airport,Family,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,80894,3,Adventure,Leh Airport,Couple,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,54522,2,Beach,Dabolim Airport,Friends,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,92610,5,Adventure,Leh Airport,Couple,Perfect weekend getaway
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,95401,3,Nature,Bagdogra Airport,Family,Budget-friendly option
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,96192,10,Urban,Haneda Airport,Solo,Great for photography
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,91818,4,Beach,Dabolim Airport,Friends,Ideal for honeymoon
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,68509,9,Beach,Dabolim Airport,Friends,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,87040,5,Heritage,Jaipur Airport,Family,Ideal for honeymoon
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,36945,3,Urban,Haneda Airport,Solo,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,60707,7,Beach,Dabolim Airport,Friends,Budget-friendly option
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,52907,8,Urban,Haneda Airport,Solo,Great for photography
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,91036,8,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,87594,9,Heritage,Charles de Gaulle Airport,Couple,Relaxing experience
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,77891,9,Beach,Dabolim Airport,Friends,Great for photography
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,29440,6,Beach,Ngurah Rai Airport,Couple,Ideal for honeymoon
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,69720,7,Urban,JFK Airport,Friends,Adventure-packed trip
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,31583,8,Adventure,Leh Airport,Couple,Perfect weekend getaway
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,62175,10,Urban,JFK Airport,Friends,Ideal for honeymoon
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,86139,9,Beach,Ngurah Rai Airport,Couple,Perfect weekend getaway
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,72207,10,Adventure,Leh Airport,Couple,Budget-friendly option
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,57791,7,Adventure,Leh Airport,Couple,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,72399,7,Adventure,Leh Airport,Couple,Cultural hotspot
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,83232,2,Urban,Haneda Airport,Solo,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,48312,2,Beach,Ngurah Rai Airport,Couple,Ideal for honeymoon
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,14677,2,Nature,Bagdogra Airport,Family,Relaxing experience
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,71996,7,Urban,JFK Airport,Friends,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,52580,6,Heritage,Jaipur Airport,Family,Ideal for honeymoon
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,34165,3,Beach,Dabolim Airport,Friends,Adventure-packed trip
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,75144,8,Urban,JFK Airport,Friends,Perfect weekend getaway
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,70078,5,Heritage,Jaipur Airport,Family,Budget-friendly option
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,47291,2,Urban,Haneda Airport,Solo,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,26670,10,Heritage,Jaipur Airport,Family,Adventure-packed trip
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,43890,2,Nature,Bagdogra Airport,Family,Great for photography
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,34672,7,Heritage,Jaipur Airport,Family,Perfect weekend getaway
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,32609,10,Urban,Haneda Airport,Solo,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,13186,2,Heritage,Jaipur Airport,Family,Cultural hotspot
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,33679,7,Spiritual,Dehradun Airport,Solo,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,77392,3,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,71519,7,Nature,Bagdogra Airport,Family,Cultural hotspot
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,11651,10,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,99688,2,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,81159,10,Adventure,Leh Airport,Couple,Perfect weekend getaway
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,52567,5,Nature,Bagdogra Airport,Family,Relaxing experience
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,71852,9,Urban,Haneda Airport,Solo,Cultural hotspot
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,68849,9,Beach,Ngurah Rai Airport,Couple,Great for photography
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,63861,9,Heritage,Jaipur Airport,Family,Great for photography
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,48197,2,Beach,Dabolim Airport,Friends,Great for photography
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,43548,7,Heritage,Charles de Gaulle Airport,Couple,Adventure-packed trip
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,11245,6,Urban,Dubai Intl Airport,Family,Perfect weekend getaway
Darjeeling,India,West Bengal,"Tiger Hill, Batasia Loop, Himalayan Railway",Summer,98380,7,Nature,Bagdogra Airport,Family,Ideal for honeymoon
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,87869,8,Heritage,Charles de Gaulle Airport,Couple,Cultural hotspot
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,79521,9,Urban,Haneda Airport,Solo,Ideal for honeymoon
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,42021,5,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,13338,4,Beach,Ngurah Rai Airport,Couple,Budget-friendly option
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,64498,7,Urban,JFK Airport,Friends,Relaxing experience
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,51841,5,Heritage,Jaipur Airport,Family,Cultural hotspot
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,29189,9,Urban,Dubai Intl Airport,Family,Great for photography
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,28093,4,Urban,Haneda Airport,Solo,Great for photography
Dubai,UAE,Dubai,"Burj Khalifa, Palm Jumeirah, Desert Safari",Winter,20481,9,Urban,Dubai Intl Airport,Family,Budget-friendly option
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,78569,3,Spiritual,Dehradun Airport,Solo,Cultural hotspot
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,13574,9,Heritage,Charles de Gaulle Airport,Couple,Perfect weekend getaway
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,26845,5,Urban,JFK Airport,Friends,Great for photography
Rishikesh,India,Uttarakhand,"Laxman Jhula, Ganga Aarti, River Rafting",Winter,12784,7,Spiritual,Dehradun Airport,Solo,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,99251,7,Heritage,Charles de Gaulle Airport,Couple,Adventure-packed trip
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,74585,4,Heritage,Jaipur Airport,Family,Perfect weekend getaway
Tokyo,Japan,Kanto,"Shibuya Crossing, Tokyo Tower, Meiji Shrine",Spring,44689,10,Urban,Haneda Airport,Solo,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,90589,4,Adventure,Leh Airport,Couple,Great for photography
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,9462,5,Heritage,Jaipur Airport,Family,Budget-friendly option
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,68510,9,Beach,Dabolim Airport,Friends,Perfect weekend getaway
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,19512,4,Beach,Dabolim Airport,Friends,Budget-friendly option
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,51520,10,Heritage,Jaipur Airport,Family,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,15994,2,Adventure,Leh Airport,Couple,Ideal for honeymoon
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,41267,3,Beach,Dabolim Airport,Friends,Budget-friendly option
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,73154,2,Beach,Ngurah Rai Airport,Couple,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,29174,6,Beach,Dabolim Airport,Friends,Budget-friendly option
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,41008,5,Heritage,Charles de Gaulle Airport,Couple,Relaxing experience
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,26579,8,Adventure,Leh Airport,Couple,Great for photography
Bali,Indonesia,Bali,"Uluwatu Temple, Kuta Beach, Tegallalang Rice Terrace",Summer,41147,10,Beach,Ngurah Rai Airport,Couple,Adventure-packed trip
Paris,France,Île-de-France,"Eiffel Tower, Louvre Museum, Notre Dame",Spring,83873,8,Heritage,Charles de Gaulle Airport,Couple,Cultural hotspot
Jaipur,India,Rajasthan,"Amber Fort, City Palace, Hawa Mahal",Winter,67393,9,Heritage,Jaipur Airport,Family,Cultural hotspot
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,31226,6,Adventure,Leh Airport,Couple,Ideal for honeymoon
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,60681,7,Adventure,Leh Airport,Couple,Great for photography
Leh,India,Ladakh,"Pangong Lake, Leh Palace, Khardung La",Summer,5584,2,Adventure,Leh Airport,Couple,Relaxing experience
New York,USA,New York,"Times Square, Central Park, Statue of Liberty",Autumn,67587,5,Urban,JFK Airport,Friends,Cultural hotspot
Goa,India,Goa,"Baga Beach, Fort Aguada, Dudhsagar Falls",Winter,6140,4,Beach,Dabolim Airport,Friends,Cultural hotspot
